ObecnÌ kÛd,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
588318,BÏlov,257,174,174,"14,36 %","0,00 %","0,00 %","4,59 %","0,00 %","8,04 %","11,49 %","0,57 %","0,00 %","1,14 %","0,00 %","0,00 %","8,04 %","0,00 %","3,44 %","29,31 %","0,00 %","0,00 %","5,17 %","2,29 %","0,00 %","0,00 %","11,49 %","0,00 %"
585076,Biskupice,564,314,314,"5,41 %","0,31 %","0,00 %","5,09 %","0,00 %","4,77 %","10,82 %","0,63 %","1,91 %","4,77 %","0,00 %","0,00 %","5,09 %","0,00 %","0,31 %","32,48 %","0,00 %","0,31 %","12,10 %","0,63 %","0,00 %","0,63 %","13,37 %","1,27 %"
557102,Bohuslavice nad Vl·¯Ì,315,201,201,"9,45 %","0,49 %","0,00 %","11,94 %","0,49 %","3,98 %","6,46 %","0,99 %","1,49 %","0,49 %","0,49 %","0,00 %","7,96 %","0,00 %","0,99 %","32,33 %","0,49 %","0,00 %","10,94 %","0,00 %","0,00 %","1,49 %","8,95 %","0,49 %"
585092,Bohuslavice u ZlÌna,637,399,397,"8,06 %","0,00 %","0,00 %","7,05 %","0,00 %","9,06 %","6,04 %","1,51 %","1,25 %","1,25 %","0,00 %","0,00 %","5,28 %","0,00 %","2,01 %","31,48 %","0,00 %","0,75 %","10,07 %","0,25 %","0,50 %","0,00 %","13,60 %","1,76 %"
585106,Brat¯ejov,640,422,419,"4,77 %","2,86 %","0,00 %","8,11 %","0,00 %","6,92 %","8,35 %","1,67 %","1,19 %","0,71 %","0,00 %","0,00 %","8,35 %","0,00 %","0,95 %","23,15 %","0,23 %","0,00 %","18,13 %","0,23 %","0,00 %","0,23 %","13,12 %","0,95 %"
585114,Brumov-Bylnice,4 531,2 599,2 582,"6,11 %","0,27 %","0,03 %","9,25 %","0,03 %","6,15 %","6,15 %","0,73 %","0,46 %","1,58 %","0,07 %","0,03 %","6,19 %","0,03 %","1,47 %","29,62 %","0,00 %","0,11 %","19,17 %","0,89 %","0,07 %","0,15 %","10,92 %","0,38 %"
538744,B¯eznice,1 032,687,681,"12,04 %","0,00 %","0,29 %","5,28 %","0,00 %","7,19 %","4,84 %","0,58 %","0,58 %","3,37 %","0,00 %","0,00 %","6,60 %","0,14 %","3,23 %","31,13 %","0,00 %","0,00 %","10,27 %","0,00 %","0,00 %","0,14 %","13,36 %","0,88 %"
585131,B¯ezov·,375,262,261,"6,89 %","0,38 %","0,00 %","5,36 %","0,00 %","6,13 %","9,19 %","1,14 %","1,53 %","0,38 %","0,00 %","0,00 %","8,81 %","0,00 %","1,53 %","27,20 %","0,00 %","0,00 %","16,85 %","0,00 %","0,38 %","0,00 %","12,64 %","1,53 %"
585149,B¯ez˘vky,567,359,356,"6,46 %","0,84 %","0,00 %","5,05 %","0,00 %","4,49 %","5,33 %","0,84 %","0,84 %","1,12 %","0,00 %","0,00 %","10,11 %","0,56 %","2,24 %","28,65 %","0,00 %","0,00 %","11,51 %","0,00 %","0,56 %","0,00 %","20,78 %","0,56 %"
585157,Deön·,165,103,103,"1,94 %","0,00 %","0,00 %","5,82 %","0,00 %","15,53 %","6,79 %","0,00 %","0,00 %","4,85 %","0,00 %","0,00 %","3,88 %","0,00 %","0,97 %","31,06 %","0,00 %","0,00 %","18,44 %","0,97 %","0,00 %","0,00 %","9,70 %","0,00 %"
585165,Dobrkovice,215,143,143,"7,69 %","0,69 %","0,00 %","13,98 %","0,00 %","2,79 %","4,89 %","0,00 %","3,49 %","2,09 %","0,00 %","0,00 %","2,09 %","0,00 %","0,00 %","26,57 %","0,00 %","0,69 %","20,27 %","0,69 %","0,00 %","0,00 %","13,98 %","0,00 %"
585173,DolnÌ Lhota,504,354,353,"5,94 %","0,28 %","0,00 %","4,81 %","0,00 %","5,66 %","4,24 %","0,56 %","0,56 %","0,28 %","0,56 %","0,00 %","6,51 %","0,00 %","0,84 %","23,79 %","0,00 %","0,84 %","35,41 %","0,56 %","0,00 %","0,28 %","7,64 %","1,13 %"
